core_id,title,acronym,rank,source_round,for_code,for_name,detail_url
2189,"International Conference on Ambient Systems, Networks and Technologies",ANT,Unranked,ICORE2026,4606,Distributed computing and systems software,https://portal.core.edu.au/conf-ranks/2189/
11,"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",SIGCOMM,A*,ICORE2026,4606,Distributed computing and systems software,https://portal.core.edu.au/conf-ranks/11/
15,ACM Conference on Embedded Networked Sensor Systems,SENSYS,unranked: merged,ICORE2026,4606,Distributed computing and systems software,https://portal.core.edu.au/conf-ranks/15/
24,ACM International Conference on Emerging Networking Experiments and Technologies,CoNEXT,A,ICORE2026,4606,Distributed computing and systems software,https://portal.core.edu.au/conf-ranks/24/
27,ACM International Conference on Mobile Computing and Networking,MOBICOM,A*,ICORE2026,4606,Distributed computing and systems software,https://portal.core.edu.au/conf-ranks/27/
30,ACM International Conference on Supercomputing,ICS,A,ICORE2026,"CSE,4606",Distributed computing and systems software,https://portal.core.edu.au/conf-ranks/30/
32,ACM International Symposium on Computer Architecture,ISCA,A*,ICORE2026,"CSE,4606,4612",Distributed computing and systems software,https://portal.core.edu.au/conf-ranks/32/
33,ACM International Symposium on High Performance Distributed Computing,HPDC,A,ICORE2026,"4606,CSE",Distributed computing and systems software,https://portal.core.edu.au/conf-ranks/33/
34,ACM International Wireless Communications and Mobile Computing Conference,IWCMC,B,ICORE2026,4606,Distributed computing and systems software,https://portal.core.edu.au/conf-ranks/34/
2336,ACM Multimedia Systems Conference,MMSys,A,ICORE2026,"4606,4603,4607",Distributed computing and systems software,https://portal.core.edu.au/conf-ranks/2336/
45,"ACM SIGMOBILE International Conference on Mobile Systems, Applications and Services",Mobisys,A,ICORE2026,4606,Distributed computing and systems software,https://portal.core.edu.au/conf-ranks/45/
48,ACM SIGOPS Symposium on Operating Systems Principles,SOSP,A*,ICORE2026,4606,Distributed computing and systems software,https://portal.core.edu.au/conf-ranks/48/
49,"ACM SIGPLAN Conference on Languages, Compilers and Tools for Embedded Systems",LCTES,B,ICORE2026,4606,Distributed computing and systems software,https://portal.core.edu.au/conf-ranks/49/
78,ACM SIGSIM Conference on Principles of Advanced Discrete Simulation (was Parallel and Distributed Simulation),PADS,B,ICORE2026,4606,Distributed computing and systems software,https://portal.core.edu.au/conf-ranks/78/
58,ACM Symposium on Mobile Ad Hoc Networking and Computing,MOBIHOC,B,ICORE2026,4606,Distributed computing and systems software,https://portal.core.edu.au/conf-ranks/58/
63,ACM Symposium on Principles of Distributed Computing,PODC,A*,ICORE2026,4606,Distributed computing and systems software,https://portal.core.edu.au/conf-ranks/63/
69,ACM Workshop on Hot Topics in Networks,HOTNETS,National: USA,ICORE2026,4606,Distributed computing and systems software,https://portal.core.edu.au/conf-ranks/69/
76,"ACM/IEEE International Conference on Modelling, Analysis and Simulation of Wireless and Mobile Systems",MSWIM,A,ICORE2026,4606,Distributed computing and systems software,https://portal.core.edu.au/conf-ranks/76/
2246,ACM/IEEE Symposium on Edge Computing,SEC,unranked,ICORE2026,4606,Distributed computing and systems software,https://portal.core.edu.au/conf-ranks/2246/
79,ACM/IFIP/USENIX International Middleware Conference,Middleware,A,ICORE2026,4606,Distributed computing and systems software,https://portal.core.edu.au/conf-ranks/79/
2278,ACM/SPEC International Conference on Performance Engineering,ICPE,B,ICORE2026,"4612,4606",Distributed computing and systems software,https://portal.core.edu.au/conf-ranks/2278/
2330,Advances in Financial Technologies,AFT,B,ICORE2026,"4606,4604",Distributed computing and systems software,https://portal.core.edu.au/conf-ranks/2330/
147,Architectural Support for Programming Languages and Operating Systems,ASPLOS,A*,ICORE2026,"4612,4606",Distributed computing and systems software,https://portal.core.edu.au/conf-ranks/147/
162,Asia and South Pacific Design Automation Conference,ASPDAC,B,ICORE2026,4606,Distributed computing and systems software,https://portal.core.edu.au/conf-ranks/162/
159,Asia Pacific Conference on Communications,APCC,C,ICORE2026,4606,Distributed computing and systems software,https://portal.core.edu.au/conf-ranks/159/
184,Asia-Pacific Network Operations and Management Symposium,APNOMS,C,ICORE2026,4606,Distributed computing and systems software,https://portal.core.edu.au/conf-ranks/184/
185,Asia-Pacific Services Computing Conference,APSCC,C,ICORE2026,4606,Distributed computing and systems software,https://portal.core.edu.au/conf-ranks/185/
189,"Asilomar Conference on Signals, Systems and Computing",ACSSC,National: USA,ICORE2026,4606,Distributed computing and systems software,https://portal.core.edu.au/conf-ranks/189/
231,Australasian Symposium on Parallel and Distributed Computing (was AusGrid),AusPDC,Australasian C,ICORE2026,4606,Distributed computing and systems software,https://portal.core.edu.au/conf-ranks/231/
368,Conference on Information Sciences and Systems,CISS,National: USA,ICORE2026,4606,Distributed computing and systems software,https://portal.core.edu.au/conf-ranks/368/
2201,"Conference on Innovation in Clouds, Internet and Networks",ICIN,National: France,ICORE2026,4606,Distributed computing and systems software,https://portal.core.edu.au/conf-ranks/2201/
381,Conference on Software in Telecommunications and Computer Networks,SOFTCOM,National: Croatia,ICORE2026,4606,Distributed computing and systems software,https://portal.core.edu.au/conf-ranks/381/
2170,EURO AMERICAN CONFERENCE ON TELEMATICS AND INFORMATION SYSTEMS,EATIS,C,ICORE2026,"4606,4608",Distributed computing and systems software,https://portal.core.edu.au/conf-ranks/2170/
463,Euromicro Conference on Real-Time Systems,ECRTS,B,ICORE2026,4606,Distributed computing and systems software,https://portal.core.edu.au/conf-ranks/463/
2334,Euromicro Conference Series on Digital System Design,DSD,C,ICORE2026,"CSE,4606",Distributed computing and systems software,https://portal.core.edu.au/conf-ranks/2334/
465,"Euromicro International Conference on Parallel, Distributed and Network Based Processing",PDP,C,ICORE2026,4606,Distributed computing and systems software,https://portal.core.edu.au/conf-ranks/465/
2192,European Dependable Computing Conference,EDCC,Unranked,ICORE2026,"4604,4612,4606",Distributed computing and systems software,https://portal.core.edu.au/conf-ranks/2192/
505,European MPI Users' Group Conference,EuroMPI,C,ICORE2026,4606,Distributed computing and systems software,https://portal.core.edu.au/conf-ranks/505/
525,Eurosys Conference,EuroSys,A,ICORE2026,4606,Distributed computing and systems software,https://portal.core.edu.au/conf-ranks/525/
579,Heterogeneity in Computing Workshop,HCW,C,ICORE2026,4606,Distributed computing and systems software,https://portal.core.edu.au/conf-ranks/579/
2247,IEEE Conference of the Open Innovations Association FRUCT,FRUCT,Regional,ICORE2026,"4606,4613",Distributed computing and systems software,https://portal.core.edu.au/conf-ranks/2247/
