acronym,core_id,link_type,reason,round,url
,24,h_index,image not found locally at /home/karthik/Programs/core-extractor/images/CoNEXT_24_h_index_FOR4606_centileGraph.png — download it yourself and place it there (filename must match the URL's basename),ICORE2026,https://portal.core.edu.au/core/media/2025/centiles_graphs/CoNEXT_24_h_index_FOR4606_centileGraph.png
,24,citation,image not found locally at /home/karthik/Programs/core-extractor/images/CoNEXT_24_cited_FOR4606_centileGraph.png — download it yourself and place it there (filename must match the URL's basename),ICORE2026,https://portal.core.edu.au/core/media/2025/centiles_graphs/CoNEXT_24_cited_FOR4606_centileGraph.png
,24,h_index,image not found locally at /home/karthik/Programs/core-extractor/images/CoNEXT_24_h_index_FOR4606_centileGraph.png — download it yourself and place it there (filename must match the URL's basename),CORE2023,https://portal.core.edu.au/core/media/2023/centiles_graphs/CoNEXT_24_h_index_FOR4606_centileGraph.png
,24,citation,image not found locally at /home/karthik/Programs/core-extractor/images/CoNEXT_24_cited_FOR4606_centileGraph.png — download it yourself and place it there (filename must match the URL's basename),CORE2023,https://portal.core.edu.au/core/media/2023/centiles_graphs/CoNEXT_24_cited_FOR4606_centileGraph.png
,15,h_index,image not found locally at /home/karthik/Programs/core-extractor/images/SENSYS_15_h_index_FOR4606_centileGraph.png — download it yourself and place it there (filename must match the URL's basename),ICORE2026,https://portal.core.edu.au/core/media/2025/centiles_graphs/SENSYS_15_h_index_FOR4606_centileGraph.png
,15,citation,image not found locally at /home/karthik/Programs/core-extractor/images/SENSYS_15_cited_FOR4606_centileGraph.png — download it yourself and place it there (filename must match the URL's basename),ICORE2026,https://portal.core.edu.au/core/media/2025/centiles_graphs/SENSYS_15_cited_FOR4606_centileGraph.png
,15,h_index,image not found locally at /home/karthik/Programs/core-extractor/images/SENSYS_15_h_index_FOR4606_centileGraph.png — download it yourself and place it there (filename must match the URL's basename),CORE2023,https://portal.core.edu.au/core/media/2023/centiles_graphs/SENSYS_15_h_index_FOR4606_centileGraph.png
,15,citation,image not found locally at /home/karthik/Programs/core-extractor/images/SENSYS_15_cited_FOR4606_centileGraph.png — download it yourself and place it there (filename must match the URL's basename),CORE2023,https://portal.core.edu.au/core/media/2023/centiles_graphs/SENSYS_15_cited_FOR4606_centileGraph.png
,11,h_index,image not found locally at /home/karthik/Programs/core-extractor/images/SIGCOMM_11_h_index_FOR4606_centileGraph.png — download it yourself and place it there (filename must match the URL's basename),ICORE2026,https://portal.core.edu.au/core/media/2025/centiles_graphs/SIGCOMM_11_h_index_FOR4606_centileGraph.png
,11,citation,image not found locally at /home/karthik/Programs/core-extractor/images/SIGCOMM_11_cited_FOR4606_centileGraph.png — download it yourself and place it there (filename must match the URL's basename),ICORE2026,https://portal.core.edu.au/core/media/2025/centiles_graphs/SIGCOMM_11_cited_FOR4606_centileGraph.png
,11,h_index,image not found locally at /home/karthik/Programs/core-extractor/images/SIGCOMM_11_h_index_FOR4606_centileGraph.png — download it yourself and place it there (filename must match the URL's basename),CORE2023,https://portal.core.edu.au/core/media/2023/centiles_graphs/SIGCOMM_11_h_index_FOR4606_centileGraph.png
,11,citation,image not found locally at /home/karthik/Programs/core-extractor/images/SIGCOMM_11_cited_FOR4606_centileGraph.png — download it yourself and place it there (filename must match the URL's basename),CORE2023,https://portal.core.edu.au/core/media/2023/centiles_graphs/SIGCOMM_11_cited_FOR4606_centileGraph.png
,15,data,PDF not found locally at /home/karthik/Programs/core-extractor/pdfs/SENSYS/ICORE2026_data_1.pdf — download it yourself and place it there,ICORE2026,https://portal.core.edu.au/core/media/2025/conference_submission/Data_Higherrank_2514.pdf
,15,decision,PDF not found locally at /home/karthik/Programs/core-extractor/pdfs/SENSYS/ICORE2026_decision_1.pdf — download it yourself and place it there,ICORE2026,https://portal.core.edu.au/core/media/2025/justification/15_SENSYS.pdf
,15,data,PDF not found locally at /home/karthik/Programs/core-extractor/pdfs/SENSYS/CORE2023_data_1.pdf — download it yourself and place it there,CORE2023,https://portal.core.edu.au/core/media/2023/conference_submission/Data_Higherrank_2169.pdf
,15,decision,PDF not found locally at /home/karthik/Programs/core-extractor/pdfs/SENSYS/CORE2023_decision_1.pdf — download it yourself and place it there,CORE2023,https://portal.core.edu.au/core/media/2023/justification/15_SENSYS.pdf
,24,h_index,image not found locally at /home/karthik/Programs/core-extractor/images/CoNEXT_24_h_index_FOR4606_centileGraph.png — download it yourself and place it there (filename must match the URL's basename),ICORE2026,https://portal.core.edu.au/core/media/2025/centiles_graphs/CoNEXT_24_h_index_FOR4606_centileGraph.png
,24,citation,image not found locally at /home/karthik/Programs/core-extractor/images/CoNEXT_24_cited_FOR4606_centileGraph.png — download it yourself and place it there (filename must match the URL's basename),ICORE2026,https://portal.core.edu.au/core/media/2025/centiles_graphs/CoNEXT_24_cited_FOR4606_centileGraph.png
,24,h_index,image not found locally at /home/karthik/Programs/core-extractor/images/CoNEXT_24_h_index_FOR4606_centileGraph.png — download it yourself and place it there (filename must match the URL's basename),CORE2023,https://portal.core.edu.au/core/media/2023/centiles_graphs/CoNEXT_24_h_index_FOR4606_centileGraph.png
,24,citation,image not found locally at /home/karthik/Programs/core-extractor/images/CoNEXT_24_cited_FOR4606_centileGraph.png — download it yourself and place it there (filename must match the URL's basename),CORE2023,https://portal.core.edu.au/core/media/2023/centiles_graphs/CoNEXT_24_cited_FOR4606_centileGraph.png
,15,h_index,image not found locally at /home/karthik/Programs/core-extractor/images/SENSYS_15_h_index_FOR4606_centileGraph.png — download it yourself and place it there (filename must match the URL's basename),ICORE2026,https://portal.core.edu.au/core/media/2025/centiles_graphs/SENSYS_15_h_index_FOR4606_centileGraph.png
,15,citation,image not found locally at /home/karthik/Programs/core-extractor/images/SENSYS_15_cited_FOR4606_centileGraph.png — download it yourself and place it there (filename must match the URL's basename),ICORE2026,https://portal.core.edu.au/core/media/2025/centiles_graphs/SENSYS_15_cited_FOR4606_centileGraph.png
,15,h_index,image not found locally at /home/karthik/Programs/core-extractor/images/SENSYS_15_h_index_FOR4606_centileGraph.png — download it yourself and place it there (filename must match the URL's basename),CORE2023,https://portal.core.edu.au/core/media/2023/centiles_graphs/SENSYS_15_h_index_FOR4606_centileGraph.png
,15,citation,image not found locally at /home/karthik/Programs/core-extractor/images/SENSYS_15_cited_FOR4606_centileGraph.png — download it yourself and place it there (filename must match the URL's basename),CORE2023,https://portal.core.edu.au/core/media/2023/centiles_graphs/SENSYS_15_cited_FOR4606_centileGraph.png
,11,h_index,image not found locally at /home/karthik/Programs/core-extractor/images/SIGCOMM_11_h_index_FOR4606_centileGraph.png — download it yourself and place it there (filename must match the URL's basename),ICORE2026,https://portal.core.edu.au/core/media/2025/centiles_graphs/SIGCOMM_11_h_index_FOR4606_centileGraph.png
,11,citation,image not found locally at /home/karthik/Programs/core-extractor/images/SIGCOMM_11_cited_FOR4606_centileGraph.png — download it yourself and place it there (filename must match the URL's basename),ICORE2026,https://portal.core.edu.au/core/media/2025/centiles_graphs/SIGCOMM_11_cited_FOR4606_centileGraph.png
